Sniffer avviato (CTRL+C per fermare)
[000001] 2025-12-19 06:30:27.460 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=118B
[000019] 2025-12-19 06:30:29.557 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=119B
[000020] 2025-12-19 06:30:29.557 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000021] 2025-12-19 06:30:29.557 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000022] 2025-12-19 06:30:29.730 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000023] 2025-12-19 06:30:29.730 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000024] 2025-12-19 06:30:29.777 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000025] 2025-12-19 06:30:29.951 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000026] 2025-12-19 06:30:29.951 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000027] 2025-12-19 06:30:30.124 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000028] 2025-12-19 06:30:30.125 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000029] 2025-12-19 06:30:30.518 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000030] 2025-12-19 06:30:30.740 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000031] 2025-12-19 06:30:30.741 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000032] 2025-12-19 06:30:30.741 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000033] 2025-12-19 06:30:30.915 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000034] 2025-12-19 06:30:30.915 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000035] 2025-12-19 06:30:30.915 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000036] 2025-12-19 06:30:31.088 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000037] 2025-12-19 06:30:31.089 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000038] 2025-12-19 06:30:31.089 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2259B
[000039] 2025-12-19 06:30:31.478 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=831B
[000040] 2025-12-19 06:30:31.651 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000041] 2025-12-19 06:30:31.651 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000042] 2025-12-19 06:30:31.824 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000043] 2025-12-19 06:30:31.824 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000044] 2025-12-19 06:30:31.825 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000045] 2025-12-19 06:30:31.998 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000046] 2025-12-19 06:30:31.998 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000047] 2025-12-19 06:30:31.999 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000048] 2025-12-19 06:30:31.999 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000049] 2025-12-19 06:30:32.033 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=100B
[000050] 2025-12-19 06:30:32.073 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=0B
[000051] 2025-12-19 06:30:32.172 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000052] 2025-12-19 06:30:32.172 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000053] 2025-12-19 06:30:32.172 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000054] 2025-12-19 06:30:32.172 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000055] 2025-12-19 06:30:32.346 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000056] 2025-12-19 06:30:32.346 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000057] 2025-12-19 06:30:32.346 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000058] 2025-12-19 06:30:32.397 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000059] 2025-12-19 06:30:32.398 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000060] 2025-12-19 06:30:32.519 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000061] 2025-12-19 06:30:32.520 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000062] 2025-12-19 06:30:32.789 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000063] 2025-12-19 06:30:32.963 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000064] 2025-12-19 06:30:32.963 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000065] 2025-12-19 06:30:33.137 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000066] 2025-12-19 06:30:33.137 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000067] 2025-12-19 06:30:33.137 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000068] 2025-12-19 06:30:33.311 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000069] 2025-12-19 06:30:33.312 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000070] 2025-12-19 06:30:33.313 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000071] 2025-12-19 06:30:33.313 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000072] 2025-12-19 06:30:33.485 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000073] 2025-12-19 06:30:33.486 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=3B
[000074] 2025-12-19 06:30:33.486 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=35B
[000075] 2025-12-19 06:30:33.487 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=0B
[000076] 2025-12-19 06:30:33.539 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000077] 2025-12-19 06:30:33.659 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=100B
[000078] 2025-12-19 06:30:33.660 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=0B
[000079] 2025-12-19 06:30:33.661 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=35B
[000080] 2025-12-19 06:30:33.786 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=119B
[000081] 2025-12-19 06:30:33.787 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000082] 2025-12-19 06:30:33.883 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000083] 2025-12-19 06:30:33.883 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000084] 2025-12-19 06:30:33.959 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000085] 2025-12-19 06:30:33.960 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=2856B
[000086] 2025-12-19 06:30:33.961 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000087] 2025-12-19 06:30:34.055 | 192.168.50.10:43979 → 1.1.1.1:53 | UDP | payload=37B
[000088] 2025-12-19 06:30:34.055 | 192.168.50.10:36591 → 1.1.1.1:53 | UDP | payload=37B
[000089] 2025-12-19 06:30:34.074 | 1.1.1.1:53 → 192.168.50.10:43979 | UDP | payload=206B
[000090] 2025-12-19 06:30:34.076 | 1.1.1.1:53 → 192.168.50.10:36591 | UDP | payload=220B
[000091] 2025-12-19 06:30:34.076 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000092] 2025-12-19 06:30:34.089 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=0B
[000093] 2025-12-19 06:30:34.091 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000094] 2025-12-19 06:30:34.091 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=2032B
[000095] 2025-12-19 06:30:34.102 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000096] 2025-12-19 06:30:34.102 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000097] 2025-12-19 06:30:34.118 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=604B
[000098] 2025-12-19 06:30:34.131 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=0B
[000099] 2025-12-19 06:30:34.132 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=1428B
[000100] 2025-12-19 06:30:34.132 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000101] 2025-12-19 06:30:34.133 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000102] 2025-12-19 06:30:34.144 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=0B
[000103] 2025-12-19 06:30:34.145 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=99B
[000104] 2025-12-19 06:30:34.146 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000105] 2025-12-19 06:30:34.146 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=846B
[000106] 2025-12-19 06:30:34.158 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=281B
[000107] 2025-12-19 06:30:34.159 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=74B
[000108] 2025-12-19 06:30:34.159 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=92B
[000109] 2025-12-19 06:30:34.160 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=265B
[000110] 2025-12-19 06:30:34.170 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=0B
[000111] 2025-12-19 06:30:34.171 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=71B
[000112] 2025-12-19 06:30:34.171 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=31B
[000113] 2025-12-19 06:30:34.172 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000114] 2025-12-19 06:30:34.172 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000115] 2025-12-19 06:30:34.172 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000116] 2025-12-19 06:30:34.173 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000117] 2025-12-19 06:30:34.173 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000118] 2025-12-19 06:30:34.174 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000119] 2025-12-19 06:30:34.174 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000120] 2025-12-19 06:30:34.175 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000121] 2025-12-19 06:30:34.175 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000122] 2025-12-19 06:30:34.175 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000123] 2025-12-19 06:30:34.175 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000124] 2025-12-19 06:30:34.175 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000125] 2025-12-19 06:30:34.175 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000126] 2025-12-19 06:30:34.175 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000127] 2025-12-19 06:30:34.175 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000128] 2025-12-19 06:30:34.178 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000129] 2025-12-19 06:30:34.183 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000130] 2025-12-19 06:30:34.183 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000131] 2025-12-19 06:30:34.183 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000132] 2025-12-19 06:30:34.184 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000133] 2025-12-19 06:30:34.184 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000134] 2025-12-19 06:30:34.184 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000135] 2025-12-19 06:30:34.185 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000136] 2025-12-19 06:30:34.185 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000137] 2025-12-19 06:30:34.185 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000138] 2025-12-19 06:30:34.185 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000139] 2025-12-19 06:30:34.185 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000140] 2025-12-19 06:30:34.186 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000141] 2025-12-19 06:30:34.186 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000142] 2025-12-19 06:30:34.186 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000143] 2025-12-19 06:30:34.187 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000144] 2025-12-19 06:30:34.187 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000145] 2025-12-19 06:30:34.187 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000146] 2025-12-19 06:30:34.187 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000147] 2025-12-19 06:30:34.188 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000148] 2025-12-19 06:30:34.188 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000149] 2025-12-19 06:30:34.188 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000150] 2025-12-19 06:30:34.188 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000151] 2025-12-19 06:30:34.189 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000152] 2025-12-19 06:30:34.189 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000153] 2025-12-19 06:30:34.190 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000154] 2025-12-19 06:30:34.190 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000155] 2025-12-19 06:30:34.191 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000156] 2025-12-19 06:30:34.191 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000157] 2025-12-19 06:30:34.194 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000158] 2025-12-19 06:30:34.195 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000159] 2025-12-19 06:30:34.195 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000160] 2025-12-19 06:30:34.195 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000161] 2025-12-19 06:30:34.195 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000162] 2025-12-19 06:30:34.196 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000163] 2025-12-19 06:30:34.196 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=1440B
[000164] 2025-12-19 06:30:34.197 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000165] 2025-12-19 06:30:34.197 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000166] 2025-12-19 06:30:34.197 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000167] 2025-12-19 06:30:34.197 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2880B
[000168] 2025-12-19 06:30:34.197 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000169] 2025-12-19 06:30:34.198 | 13.107.213.60:443 → 192.168.50.10:44632 | TCP | payload=2157B
[000170] 2025-12-19 06:30:34.198 | 192.168.50.10:44632 → 13.107.213.60:443 | TCP | payload=0B
[000171] 2025-12-19 06:30:34.275 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000172] 2025-12-19 06:30:34.306 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000173] 2025-12-19 06:30:34.306 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000174] 2025-12-19 06:30:34.351 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000175] 2025-12-19 06:30:34.351 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000176] 2025-12-19 06:30:34.480 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000177] 2025-12-19 06:30:34.480 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000178] 2025-12-19 06:30:34.571 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000179] 2025-12-19 06:30:34.571 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000180] 2025-12-19 06:30:34.571 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000181] 2025-12-19 06:30:34.696 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000182] 2025-12-19 06:30:34.696 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1428B
[000183] 2025-12-19 06:30:34.745 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000184] 2025-12-19 06:30:34.745 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=1380B
[000185] 2025-12-19 06:30:34.914 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000186] 2025-12-19 06:30:34.961 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=0B
[000187] 2025-12-19 06:30:34.966 | 20.189.173.12:443 → 192.168.50.10:32900 | TCP | payload=100B
[000188] 2025-12-19 06:30:35.010 | 192.168.50.10:32900 → 20.189.173.12:443 | TCP | payload=0B
Sniffer terminato
